destination,original,global_rank,domestic_rank,reach_rank
https://mail.google.com/mail/,gmail.com,1,1,1
http://www.90dpfb.com/,90dpfb.com,2313963,-,2635725
http://www.syamsulalam.net/,syamsulalam.net,154675,3674,151135
http://postimage.org,postimage.org,8926,3331,7082
https://www.instagram.com/,www.instagram.com,23,19,21
http://www.jne.co.id,www.jne.co.id,8463,138,8646
http://www.musingsofamuse.com/2010/03/bourjois-paris-healthy-mix-concealer-review-and-swatches.html,www.musingsofamuse.com/2010/03/bourjois-paris-healthy-mix-concealer-review-and-swatches.html,40761,10465,38122
http://imgur.com,imgur.com,47,15,56
http://www.souvenirdunia.com,www.souvenirdunia.com,-,-,-
http://youtu.be,youtu.be,22564,-,15916
http://www.google.co.id,www.google.co.id,68,1,83
http://www.mas.no/,mas.no,-,-,-
http://goo.gl,goo.gl,899,341,634
http://www.facebook.com/juraganmodifikasi,www.facebook.com/juraganmodifikasi,3,2,2
http://id.yahoo.com/,yahoo.co.id,5,5,5
https://mail.live.com/default.aspx,hotmail.com,11,14,9
http://www.blanja.com/,blanja.com,23040,341,27118
http://drive.google.com,drive.google.com,1,1,1
https://www.outlook.com/owa/,outlook.com,4463,2687,3597
http://www.bajuready.com,www.bajuready.com,2897358,44421,2960070
http://www.facebook.com,www.facebook.com,3,2,2
http://www.reskrim.com,www.reskrim.com,4331920,-,4580271
https://global.blackberry.com/bbm/en_gb/detectpin.html?,www.pin.bbm.com,3106,93,3308
https://www.blibli.com/,blibli.com,5866,79,6631
https://www.bukalapak.com/,bukalapak.com,387,14,659
https://www.tokopedia.com/,tokopedia.com,403,12,593
http://no.pe,no.pe,20190940,-,18938351
http://www.waktunyakapalapi.com,www.waktunyakapalapi.com,989032,20704,931566
https://www.yahoo.com/,yahoo.com,5,5,5
http://www.tokopedi.com/kamarunikshop,www.tokopedi.com/kamarunikshop,7531845,-,6456978
http://tokosaya.banyuwanger.com,tokosaya.banyuwanger.com,619893,10714,805342
http://tiat.banyuwanger.com,tiat.banyuwanger.com,619893,10714,805342
http://tiar.banyuwanger.com/,www.tiar.banyuwanger.com,619893,10714,805342
http://elhanalearningkit.com,elhanalearningkit.com,9443631,-,8230797
http://primatama-high-skillindo.blogspot.co.id,primatama-high-skillindo.blogspot.co.id,-,-,-
http://www.hbs.hr/,hbs.hr,2977135,-,3712881
https://www.youtube.com/,www.youtube.com,2,3,3
http://cahunnes.com,cahunnes.com,2158670,-,2078308
https://www.bukalapak.com/uzop,bukalapak.com/uzop,387,14,659
http://www.uzopms.com,www.uzopms.com,-,-,-
http://case.ga,case.ga,-,-,-
http://www.yukibabyshop.com,www.yukibabyshop.com,727176,36990,942535
http://ngoprekradio.com/,www.ngoprekradio.com,5006228,-,5386084
http://www.microsoft.com,www.microsoft.com,39,41,27
http://cektarif.com,cektarif.com,47599,911,33762
http://www.cekresi.com,www.cekresi.com,38210,656,28633
http://www.jne.com,www.jne.com,1091309,24699,883008
