msg_reply,date
^_^,2016-04-20
-_-,2016-04-20
;,2016-04-20
;),2016-04-20
: ),2016-04-20
:-),2016-04-20
:(,2016-04-20
"gan agan beneran nipu??

saya lait berita toko agan masuk daftar penipu saya liat disini 


www*infopedia*pe*hu sdfsf

(ubah bintang jadi titik dulu,soalnya gak bsia share link lain di tokopedia)


thanks",2016-04-20
"https://www*bukalapak*com/p/fashion/pria/perhiasan-aksesoris-170/fs6wt-jual-liontin-black-jade-aceh


siang di buka lapak disc 10%


tokopedia ga disc jg ?",2016-04-20
"Asus Zenfone 2 Laser 5 Inch ZE500 Bumper Aluminium Metal Case + Sledding Back Cover Acrylic Case warna Hitam hbs, yg msh ready: Silver, Gold dan Biru.


Mau diganti warna apa??",2016-04-20
"ya gan, batalin dulu aja, ini bener2 saya disuruh ganti uang masalahnya",2016-04-20
"ok gan, aku konfirmasikan dulu ke posnya ya. Udah aku transfer 32rb ke cimb nya ya.",2016-04-20
"ya gan, batalin dulu aja, ini bener2 saya disuruh ganti uang masalahnya",2016-04-20
"ya gan, batalin dulu aja, ini bener2 saya disuruh ganti uang masalahnya",2016-04-20
"ok gan, aku konfirmasikan dulu ke posnya ya. Udah aku transfer 32rb ke cimb nya ya.",2016-04-20
"customer udah closing gan, saya jg sudah kasih review.. sippp lah",2016-04-20
"eh salah gambarnya gan
yg ini aja. http://ecx.images-amazon.com/images/I/61wMGO247TL._UY395_.jpg.",2016-04-20
"Berarti cocoknya sama filter ini ya gan,

https://tokopedia.com/DWNMandiri/greensand-plus-cartridge-refill-10-inch?key=eyJvYiI6IjExIiwicGFnZSI6IjEiLCJzcSI6IiJ9&pos=7",2016-04-20
"Berarti cocoknya sama filter ini ya gan 0908980809808,

https://tokopedia.com/DWNMandiri/greensand-plus-cartridge-refill-10-inch?key=eyJvYiI6IjExIiwicGFnZSI6IjEiLCJzcSI6IiJ9&pos=7",2016-04-20
"cb tutorial ini mbak
https://www.you*tube.com/watch?v=b0utt-th0tw",2016-04-20
"Berarti cocoknya sama filter ini ya gan,

https://tokopedia.com/DWNMandiri/greensand-plus-cartridge-refill-10-inch?key=eyJvYiI6IjExIiwicGFnZSI6IjEiLCJzcSI6IiJ9&pos=7",2016-04-20
"Yth. Kadoultahunik.com


Dengan ini saya memperkenalkan diri dengan niat mohon kerja sama dengan Owner Kadoultahunik di mana yang setahu saya sering mengambil barang di Gizelshop. Chandra PGS, JJ, dan lain-lain.  Kebetulan jenis barang saya semakin banyak dan kemungkinan besar,harga saya sanggup untuk bersaing dengan para supplier. Oleh karena itu saya menawarkan apabila berkenan Yth.Owner kadoultahunik berkenan ambil barang / kulakan di Kobucca juga.


Atas perhatiannya saya ucapkan terima kasih dan besar harapan saya untuk bekerja sama.",2016-04-20
www.bukalapak.com/hammock_indo,2016-04-20
asda adddddddddddddddddd www*info-pedia*hole*es fsdfsdf sfsfsf,2016-04-20
ya...ngk apa2. mga seblm dikirim yg hitam datang baru. heee,2016-04-20
"Yang rollerball ada angel sis..Rp. 130.000,-
https://www.tokopedia.com/telordadar/victoria-secret-angel-rollerball-7ml

Yang Edt Rp. 150.000,-
https://www.tokopedia.com/telordadar/victoria-secret-pure-daydream-pearl-orchidpink-currant-30ml-edt
https://www.tokopedia.com/telordadar/victoria-secret-pure-seduction-red-plum-fressia-30ml-eau-de-toilette

Kalo minat info ya sis..jadi saya bisa pisahin dl soalnya stok terbatas :)",2016-04-20
"Bisa boss,,,",2016-04-20
ya udh gp2.ttp di proses saja,2016-04-20
Yah...butuhnya yg art of closing the sale,2016-04-20
