word,count
saya,94243
tokopedia,25695
dan,21316
sudah,20054
toko,18695
tidak,18352
yang,15399
ada,15303
mohon,15256
nama,14704
untuk,14528
bisa,14344
barang,14043
ini,12785
pembayaran,11551
dari,11112
saldo,10978
dengan,10886
terima,10185
transaksi,9974
transfer,9599
dana,9209
kasih,9006
mau,8923
melakukan,8743
belum,8493
ingin,8396
penjual,7703
karena,7690
tapi,7630
konfirmasi,6602
tolong,6082
pesanan,5878
sampai,5734
bagaimana,5696
nya,5528
pada,5481
hari,5432
pembeli,5300
kami,4871
uang,4616
tersebut,4424
kenapa,4373
itu,4350
saat,4256
rekening,4202
apa,4131
bantuannya,4115
menjadi,4096
masuk,4026
apakah,3934
tetapi,3928
tgl,3915
juga,3904
sdh,3878
produk,3845
tanggal,3777
akan,3768
pembelian,3716
atau,3668
oleh,3644
terimakasih,3616
proses,3606
admin,3468
segera,3460
atas,3419
pesan,3406
dear,3373
resi,3356
sebesar,3280
pengiriman,3271
namun,3254
saja,3227
verifikasi,3200
pihak,3183
cara,3172
bank,3149
masih,3136
baru,3088
tdk,3064
kirim,3050
kartu,3047
padahal,3025
menggunakan,3002
akun,2981
bca,2964
jadi,2923
blm,2907
selamat,2857
telah,2824
dapat,2820
dalam,2803
nomor,2798
order,2781
harus,2765
kredit,2760
sama,2692
agar,2670
ya,2661
lama,2650
jam,2616
lagi,2605
salah,2566
melalui,2532
kembali,2497
jne,2497
sekarang,2487
status,2483
lebih,2442
hanya,2404
beli,2393
setelah,2386
jika,2359
via,2351
cek,2328
d,2264
dikirim,2238
kalau,2211
email,2203
mengganti,2174
dgn,2126
rek,2098
dibatalkan,2089
sesuai,2085
rp,2083
minta,2078
mandiri,2078
utk,2040
pemesanan,2037
kok,2029
lupa,2005
waktu,1987
bukti,1978
lain,1972
berhasil,1952
sya,1950
ternyata,1904
bantuan,1904
seller,1902
ketika,1891
diterima,1887
online,1885
kode,1865
tanya,1845
tarik,1818
kali,1792
bayar,1784
mengubah,1771
membeli,1758
lalu,1754
sebelumnya,1740
sandi,1734
mengantikan,1733
kata,1730
toped,1722
dibantu,1714
pedia,1677
siang,1666
belanja,1658
seperti,1652
total,1651
adalah,1650
pagi,1640
review,1633
maaf,1631
gimana,1613
caranya,1603
alamat,1603
gagal,1584
anda,1583
kesalahan,1580
bahwa,1529
langsung,1528
dikembalikan,1518
krn,1510
sehingga,1505
gak,1502
satu,1496
cicilan,1470
thanks,1467
masalah,1446
komplain,1410
kepada,1408
shop,1381
kan,1369
penjualan,1365
sangat,1353
diproses,1347
sebagai,1337
kurang,1315
ganti,1300
sedangkan,1289
tsb,1285
min,1279
domain,1272
jumlah,1271
udah,1256
lewat,1249
penarikan,1241
harga,1232
bri,1231
beberapa,1231
respon,1228
password,1208
kemarin,1197
sekali,1191
membuat,1191
ongkir,1189
bantu,1188
malam,1187
barangnya,1183
sedang,1177
banyak,1174
klik,1173
lakukan,1167
otomatis,1166
hal,1153
an,1137
customer,1118
merubah,1117
awal,1109
karna,1104
maret,1094
kalo,1082
fitur,1080
salam,1052
menerima,1051
trims,1034
selalu,1032
atm,1031
diverifikasi,1031
menunggu,1003
muncul,986
cepat,982
kurir,975
brg,969
bukan,967
kita,955
tetap,943
paket,940
berniat,936
refund,935
dia,918
buat,915
coba,911
batalkan,909
sore,901
semua,900
sejumlah,893
gan,889
alasan,889
tagihan,887
pertama,886
terus,886
tokped,885
jual,885
pakai,885
orderan,882
menanyakan,880
baik,879
buyer,879
selesai,878
info,873
login,869
sistem,868
pengembalian,863
solusinya,856
seharusnya,854
tadi,854
saran,850
aja,846
april,841
bni,838
ulang,837
mengapa,836
no,834
syarat,832
dilakukan,821
terpotong,820
berapa,818
banking,815
membayar,814
keterangan,799
berikut,798
ketentuan,792
memang,789
malah,789
memberikan,777
klo,770
halo,766
nominal,766
facebook,754
aku,750
secepatnya,749
menjual,744
secara,742
terjadi,737
thx,736
pos,736
kemudian,736
tanpa,731
berbeda,731
mendapatkan,726
kapan,725
ditarik,721
ubah,721
memesan,721
bulan,712
data,711
kembalikan,705
biaya,705
buka,702
sms,701
dikarenakan,700
solusi,695
pun,692
sejak,687
memberitahu,683
benar,680
habis,680
mana,680
store,678
ongkos,676
supaya,671
mengenai,671
knp,666
gmn,662
hubungi,660
maka,659
tujuan,657
menghubungi,655
soalnya,654
otp,653
pernah,652
jasa,652
skrg,651
nomer,650
mungkin,648
cuma,646
kota,644
butuh,642
punya,638
menarik,636
tau,635
biasanya,626
yaitu,621
informasi,621
sukses,619
diskusi,618
item,615
dananya,613
pas,610
mengirim,605
sampe,602
kosong,601
stok,601
pilihan,600
warna,599
pake,594
pembatalan,590
perlu,586
sendiri,584
cancel,583
jakarta,582
makasih,579
membatalkan,576
mentransfer,575
penjelasannya,573
masukan,571
tertera,570
foto,564
selama,564
tranfer,560
senilai,557
yah,556
dulu,556
x,553
indonesia,548
account,548
setiap,547
hingga,547
notifikasi,546
pengguna,544
tunggu,543
apabila,541
uangnya,538
k,535
penerimaan,534
pembayarannya,532
dong,531
biar,531
tersedia,530
perubahan,529
terlalu,525
batal,523
tahu,523
yth,520
memasukkan,517
isi,517
sebelum,514
membantu,513
mobile,511
dua,507
batas,507
mengirimkan,506
trimakasih,502
mendapat,501
udh,499
gunakan,499
meminta,499
limit,497
januari,492
kedua,491
tokopediaalasan,490
tiki,490
bertambah,488
tertulis,485
regards,484
tlg,484
harap,484
menambah,481
metode,479
penjelasan,477
diganti,474
bila,470
stock,469
n,466
tks,466
dpt,464
internet,461
aplikasi,458
minggu,457
trus,457
terlanjur,456
input,456
mengisi,456
lampirkan,454
tanyakan,454
lihat,454
bertanya,453
the,451
telp,451
daftar,451
konfirmasinya,450
jelas,449
dicek,448
merasa,446
dimana,444
menu,442
pusat,442
diatas,436
tentang,435
memilih,435
sy,435
tempat,434
terlampir,433
msh,433
trf,432
halaman,429
sebanyak,429
ditolak,429
pemilik,428
berbelanja,427
pelanggan,427
kemana,427
web,424
dlm,423
dikonfirmasi,421
tracking,421
kendala,419
tiket,419
mei,417
orang,416
blum,415
lainnya,415
datang,415
wib,414
boleh,413
katanya,412
kerja,412
mengkonfirmasi,408
menurut,408
profil,405
pt,405
resolusi,404
deposit,404
baju,403
ucapkan,403
desember,403
unik,402
kolom,399
valid,398
tpi,396
konsumen,396
memasukan,396
pukul,393
masukkan,389
mereka,388
ready,386
sering,385
pertanyaan,381
gambar,381
demikian,381
mencoba,380
bingung,380
sis,380
ditransfer,377
akhirnya,375
sementara,374
begitu,373
memiliki,373
direview,370
semoga,369
hilang,369
statusnya,367
terakhir,367
retur,366
bilang,366
digunakan,366
februari,365
disini,364
merchant,364
pak,363
besar,363
mengalami,363
g,362
nih,362
sekitar,362
pasword,360
sepatu,360
infonya,360
yaa,358
aktif,357
memakai,357
gold,356
hasil,356
cukup,354
pilih,354
kelebihan,354
kerjasamanya,354
melihat,353
bisakah,351
yes,350
jenis,349
tombol,346
upload,344
kecewa,342
nah,341
perhatiannya,337
berjualan,337
per,337
tokopediacom,336
membuka,335
buah,334
memberi,332
keranjang,331
mhn,331
balik,330
keluar,328
tokonya,327
kecamatan,327
harusnya,326
murah,325
promo,325
bagi,325
a,324
jualan,324
nanya,323
dri,323
mengembalikan,322
pcs,322
service,322
rusak,320
nanti,319
trima,318
penerima,316
diberikan,313
mas,312
nilai,312
rupiah,307
jangan,307
update,306
tas,303
tanggapan,302
sisa,302
berat,301
berupa,301
belom,300
terkirim,300
jawaban,299
berubah,297
kak,297
penjualnya,297
mengajukan,295
diminta,295
tangan,293
pin,291
kekurangan,291
bantuanya,290
merespon,289
diubah,289
lanjuti,288
y,286
ditokopedia,286
iklan,285
terverifikasi,285
check,284
dropship,283
blom,282
pribadi,281
error,281
agen,277
kemaren,277
1x24,276
detail,275
feb,275
tinggal,273
balasan,273
pdhl,272
bsa,271
biasa,271
dihubungi,270
out,270
transaksinya,269
selanjutnya,269
hallo,268
google,268
perhatian,267
website,267
ukuran,267
card,267
lambat,266
bos,266
menambahkan,266
tindak,266
mudah,266
awalnya,265
lengkap,265
full,264
kira,263
saldonya,263
delivered,263
bahkan,259
sedikit,258
lanjut,258
konfirm,257
tulisan,257
rumah,255
susah,255
hrs,254
terdebet,254
ditahan,252
user,252
team,251
cs,251
bagian,251
cairkan,250
tambah,250
dikirimkan,250
brp,250
beda,250
sist,249
kirimkan,249
donk,248
koq,247
maksudnya,246
hormat,246
pesen,246
lokasi,245
daerah,244
kesulitan,243
pemberitahuan,243
etalase,243
juni,243
resinya,243
maupun,243
terdapat,242
care,242
tiba,240
bertransaksi,239
sengaja,239
mencari,239
adanya,237
ambil,237
i,237
cair,237
cari,236
uda,235
checkout,235
layanan,235
inbox,235
sebenarnya,235
wahana,234
telepon,234
terhadap,234
sih,234
dah,232
tak,232
kmrn,231
sabtu,231
3x24,231
semula,230
dahulu,230
grosir,230
informasinya,230
tunai,229
bandung,229
klikbca,229
pelayanan,229
para,229
asli,228
cust,227
barusan,227
terkait,226
android,226
verivikasi,225
jawab,225
rubah,225
you,225
permasalahan,224
ekspedisi,224
hampir,224
direspon,223
buku,223
membutuhkan,222
cabang,222
tlp,222
system,221
link,221
dicairkan,221
mengecek,220
fasilitas,220
serta,220
kah,220
selain,220
kantor,219
dijual,219
luar,219
lacak,218
pencairan,218
ongkirnya,218
hai,218
dll,218
memproses,217
banget,216
dibayar,216
kena,215
begini,215
menyelesaikan,215
seharga,214
lapak,214
november,213
complain,213
asal,211
sepertinya,211
jawabannya,210
liat,210
mempunyai,210
pasti,210
misal,209
nggak,209
dipakai,208
best,208
tutup,207
menemukan,207
masalahnya,207
perihal,207
bgmn,207
sebagian,207
tambahan,207
kontak,206
jumat,206
tolak,206
menghapus,206
lbh,206
kiriman,205
ditunggu,205
surabaya,204
apapun,204
dinyatakan,203
ribu,203
kosmetik,202
berarti,202
and,202
misalnya,201
thank,201
soal,201
merugikan,200
mengetahui,200
bagus,200
transfernya,200
maksud,199
paling,199
log,199
product,198
berikan,197
mulai,197
dirubah,197
laporan,196
prosesnya,196
kabar,195
penggantian,195
harganya,195
mba,194
klikpay,194
verifikasinya,194
kasus,193
krna,193
kiranya,193
collection,193
kejelasan,192
idr,192
pengirimannya,192
tercantum,191
hub,191
sempat,190
dirugikan,190
kereta,189
double,188
masukin,188
senin,188
terlebih,187
ane,187
top,187
palsu,186
contoh,186
bermasalah,185
berdasarkan,185
nunggu,184
permintaan,183
oktober,183
diteruskan,182
center,182
unggah,182
smpai,182
sampaikan,181
knapa,181
ditambahkan,181
dompet,178
jawa,178
kpd,178
penambahan,178
ngga,177
kerjasama,177
telpon,177
agak,177
transferan,177
dimasukkan,176
call,176
mengingat,176
september,176
akhir,176
namanya,176
credit,176
pengirim,175
tempo,175
anak,175
tiap,174
dibeli,174
fashion,174
ditindak,174
aman,173
memudahkan,173
permohonan,173
voucher,172
situs,172
norek,172
samsung,172
bernama,172
berada,171
dikenakan,171
besok,171
terdaftar,171
pembuatan,170
trs,170
mutasi,170
barat,170
dilacak,169
deskripsi,168
handphone,168
hitam,168
modal,168
pulsa,167
antara,167
sekian,164
hp,164
masa,163
list,163
angka,163
mhon,163
olshop,162
kondisi,162
kecil,162
ditoko,162
sini,162
cimb,161
sbg,160
khusus,160
beri,160
gmna,160
jan,160
sisanya,159
pencarian,159
hendak,159
opsi,159
sebuah,158
gini,158
mengatakan,158
prosedur,157
ref,157
atc,157
nmr,156
mengerti,156
mahal,156
semakin,155
spt,155
rugi,155
unit,155
jaya,155
kategori,155
penipuan,155
niaga,154
takut,154
tiba2,154
pikir,154
selatan,154
berkurang,154
ketik,154
ibu,153
des,153
tim,153
maksimal,153
berharap,153
nol,153
sbb,153
size,152
follow,151
referensi,151
silahkan,151
brang,151
bbrp,151
withdrawal,151
ulasan,150
menyatakan,150
mbak,150
cod,150
tahan,150
antar,150
tulis,150
permata,149
gojek,149
jatuh,149
urgent,149
mendaftar,149
track,148
diperbaiki,148
termasuk,148
tertahan,147
bersama,147
permisi,147
bagai,147
smp,146
rasa,146
sebaiknya,146
kg,146
ataupun,146
agustus,146
menggantikan,146
hapus,146
lg,145
kirimnya,145
seminggu,145
syariah,145
payment,144
skrng,144
tertentu,144
usaha,144
sebab,144
juli,144
bbm,143
bersangkutan,143
dipesan,143
pdhal,142
sulit,142
adapun,141
ditindaklanjuti,141
tahun,141
sdah,140
cuman,140
ksh,140
ato,140
api,139
pengawasan,139
nyaman,139
dibuat,139
selaku,139
diberi,139
jauh,138
responnya,138
baca,137
mencairkan,137
bermaksud,137
sekaligus,137
merupakan,137
merah,137
reguler,136
reseller,136
terjual,136
kab,136
indomaret,136
please,135
merk,135
tlong,134
dibalas,134
lwt,133
huruf,133
depan,133
dilihat,132
deposito,132
posisi,132
bayarkan,132
petunjuk,132
dibuka,131
kunjung,131
pembelanjaan,131
kadang,131
kebetulan,130
namadomain,130
search,130
rincian,130
kecepatan,130
disuruh,129
process,129
melebihi,129
alat,129
expired,129
jgn,129
walaupun,129
produknya,128
terhormat,128
pencerahannya,128
say,128
trx,127
reset,127
bekasi,127
2x,126
central,126
case,126
perusahaan,126
for,126
brng,126
mencantumkan,125
balas,125
direfund,125
promosi,124
kebijakan,124
bawah,124
ditambah,124
ecash,124
media,124
pengecekan,124
tanda,123
cash,123
stlh,123
member,123
hi,123
ttp,123
note,123
knpa,122
acc,122
lampiran,122
bikin,122
notif,121
kejadian,121
byr,121
alasannya,121
semuanya,119
mksh,119
smpe,119
timur,119
menit,119
demi,118
membaca,118
tampilan,118
mengganggu,118
disitu,118
not,118
satunya,118
menganti,118
kira2,117
mbanking,117
bintang,117
menyediakan,117
msk,117
org,116
yakin,116
apalagi,116
beauty,116
jaringan,116
asia,116
box,116
sudh,116
bgt,115
kekurangannya,115
dipercepat,115
harapan,115
pengen,115
gitu,115
iphone,115
minimal,115
logistik,114
bentuk,114
dicancel,114
trnsfer,114
paham,114
laptop,114
tokopediasaya,114
meningkatkan,114
dijawab,114
set,114
rating,114
contact,113
suruh,113
pasang,113
bapak,113
teman,113
power,113
terlihat,113
trmksh,113
menulis,113
dianggap,112
clickpay,112
jalan,112
sertakan,111
ditanggapi,111
hello,111
2x24,111
berikutnya,111
nov,111
dropshipper,111
keluhan,111
adakah,110
mengambil,110
suka,110
komplen,110
garansi,110
batu,110
citibank,109
message,109
jaket,109
form,109
original,109
lgsg,109
berhubung,108
jadinya,108
gmana,108
jg,108
cepet,108
tepat,108
faktur,107
skr,107
bisnis,107
m,107
suatu,107
penyelesaiannya,106
profile,106
hijab,106
mega,105
ga,105
mengklik,105
kabupaten,105
ditemukan,105
herbal,105
dihapus,105
app,105
macam,105
manual,105
program,104
jl,104
nambah,104
dewi,104
putih,104
terjangkau,104
semalam,104
mlm,104
server,104
tbk,103
penting,103
kalinya,103
gudang,103
berfungsi,103
mini,103
penuh,103
baby,103
ngak,102
menyampaikan,102
catatan,102
expedisi,102
bapakibu,102
alias,102
ikut,101
tekan,101
struk,101
baiknya,101
anz,101
diisi,101
asuransi,101
berencana,101
visa,100
lucky,100
nyampe,100
lancar,100
mengikuti,100
dibawah,100
dijelaskan,100
tukar,100
komfirmasi,100
sekedar,100
perbaiki,100
lampu,99
supplier,99
penyelesaian,99
mesin,99
kerekening,99
inginkan,99
lah,99
mengecewakan,99
calon,99
phone,99
hijau,98
ttg,98
masi,98
selisih,98
gmail,98
kamis,98
tertagih,98
assalamualaikum,98
keterangannya,98
ribet,98
menolak,97
danamon,97
karenakan,97
sandinya,97
jelaskan,97
utara,97
melampirkan,97
jdi,97
tangerang,97
enak,97
plus,97
bunga,97
mtransfer,97
cream,97
dijadikan,97
berita,96
dipertimbangkan,96
sblmnya,96
melaporkan,96
percepat,96
milik,96
siapa,96
tambahkan,96
libur,95
dikatakan,95
teruskan,95
oke,95
mobil,95
krim,94
1kg,94
aturan,94
manipulasi,94
diambil,94
kec,94
melanjutkan,93
pedagang,93
cover,93
mnta,93
memverifikasi,93
biru,93
berbagai,93
bekas,93
memastikan,93
kemungkinan,93
diri,93
noresi,93
